price_open,price_high,price_low,price_close,volume_traded,trades_count,time_close,time_open,time_period_start,time_period_end,market_cap
235.84,248.48,235.5,240.97,20519.614031039997,9766,2015-09-06T23:56:56.0000000Z,2015-09-06T00:03:17.0000000Z,2015-09-06T00:00:00.000000Z,2015-09-07T00:00:00.0000000Z,3440554163.3302197
241.0,243.0,239.03,240.85,6949.441157790002,5368,2015-09-07T23:59:37.0000000Z,2015-09-07T00:01:43.0000000Z,2015-09-07T00:00:00.000000Z,2015-09-08T00:00:00.0000000Z,3513708913.1907444
240.91,247.68,240.27,244.2,16344.61515373,6397,2015-09-08T23:59:52.0000000Z,2015-09-08T00:00:09.0000000Z,2015-09-08T00:00:00.000000Z,2015-09-09T00:00:00.0000000Z,3507223588.02348
244.2,245.57,238.38,239.07,15577.945319620003,5316,2015-09-09T23:59:58.0000000Z,2015-09-09T00:00:22.0000000Z,2015-09-09T00:00:00.000000Z,2015-09-10T00:00:00.0000000Z,3565061049.2525506
238.97,242.83,237.01,239.49,10917.73730956,3918,2015-09-10T23:59:26.0000000Z,2015-09-10T00:00:05.0000000Z,2015-09-10T00:00:00.000000Z,2015-09-11T00:00:00.0000000Z,3493141592.872191
239.4,242.89,239.39,240.6,7041.897677239999,3218,2015-09-11T23:54:01.0000000Z,2015-09-11T00:00:02.0000000Z,2015-09-11T00:00:00.000000Z,2015-09-12T00:00:00.0000000Z,3486410417.092166
240.9,241.0,235.33,235.77,9833.24781185,3494,2015-09-12T23:59:20.0000000Z,2015-09-12T00:14:52.0000000Z,2015-09-12T00:00:00.000000Z,2015-09-13T00:00:00.0000000Z,3510560538.5762024
235.86,236.85,228.95,230.96,12591.828997000004,5313,2015-09-13T23:58:57.0000000Z,2015-09-13T00:02:02.0000000Z,2015-09-13T00:00:00.000000Z,2015-09-14T00:00:00.0000000Z,3442697731.5316467
231.11,233.9,228.4,230.89,9565.15571283,3884,2015-09-14T23:58:22.0000000Z,2015-09-14T00:00:05.0000000Z,2015-09-14T00:00:00.000000Z,2015-09-15T00:00:00.0000000Z,3372841888.832466
231.07,232.93,229.5,230.93,6838.8006060200005,2490,2015-09-15T23:55:47.0000000Z,2015-09-15T00:00:06.0000000Z,2015-09-15T00:00:00.000000Z,2015-09-16T00:00:00.0000000Z,3377574294.487538
230.91,232.12,227.33,228.99,8901.07462761,3311,2015-09-16T23:59:54.0000000Z,2015-09-16T00:05:42.0000000Z,2015-09-16T00:00:00.000000Z,2015-09-17T00:00:00.0000000Z,3364270853.9337373
228.99,235.71,228.99,233.61,11251.900923190002,4271,2015-09-17T23:59:58.0000000Z,2015-09-17T00:00:57.0000000Z,2015-09-17T00:00:00.000000Z,2015-09-18T00:00:00.0000000Z,3404773580.735391
233.65,236.26,232.52,233.78,8674.92224092,3737,2015-09-18T23:57:56.0000000Z,2015-09-18T00:00:03.0000000Z,2015-09-18T00:00:00.000000Z,2015-09-19T00:00:00.0000000Z,3427167710.8599877
233.79,234.19,231.4,232.09,4969.653817000001,2563,2015-09-19T23:58:52.0000000Z,2015-09-19T00:01:33.0000000Z,2015-09-19T00:00:00.000000Z,2015-09-20T00:00:00.0000000Z,3415219054.012873
232.01,233.38,231.4,232.12,3471.5048989299994,2290,2015-09-20T23:58:02.0000000Z,2015-09-20T00:00:23.0000000Z,2015-09-20T00:00:00.000000Z,2015-09-21T00:00:00.0000000Z,3399095751.421133
232.11,232.97,226.38,227.22,9804.998366110001,3837,2015-09-21T23:55:15.0000000Z,2015-09-21T00:00:45.0000000Z,2015-09-21T00:00:00.000000Z,2015-09-22T00:00:00.0000000Z,3385777113.9195914
227.25,233.95,224.25,231.11,18854.93660883,5528,2015-09-22T23:59:57.0000000Z,2015-09-22T00:05:20.0000000Z,2015-09-22T00:00:00.000000Z,2015-09-23T00:00:00.0000000Z,3329479137.995317
231.43,233.0,230.03,230.54,5720.2754746499995,2541,2015-09-23T23:58:39.0000000Z,2015-09-23T00:00:03.0000000Z,2015-09-23T00:00:00.000000Z,2015-09-24T00:00:00.0000000Z,3385207873.2117424
230.57,236.25,230.54,234.65,15377.240966719999,3915,2015-09-24T23:57:47.0000000Z,2015-09-24T00:03:06.0000000Z,2015-09-24T00:00:00.000000Z,2015-09-25T00:00:00.0000000Z,3375576381.6177034
234.65,237.7,233.05,235.26,9861.4277771,4441,2015-09-25T23:59:24.0000000Z,2015-09-25T00:01:55.0000000Z,2015-09-25T00:00:00.000000Z,2015-09-26T00:00:00.0000000Z,3435052098.6292424
235.39,235.95,233.75,234.63,4796.04811748,2136,2015-09-26T23:58:22.0000000Z,2015-09-26T00:01:03.0000000Z,2015-09-26T00:00:00.000000Z,2015-09-27T00:00:00.0000000Z,3448993027.987369
234.63,234.78,233.0,233.37,2592.0015538299995,1355,2015-09-27T23:57:33.0000000Z,2015-09-27T00:01:08.0000000Z,2015-09-27T00:00:00.000000Z,2015-09-28T00:00:00.0000000Z,3440853929.9371033
233.37,241.44,233.37,240.43,12488.220159990002,4635,2015-09-28T23:57:40.0000000Z,2015-09-28T00:00:04.0000000Z,2015-09-28T00:00:00.000000Z,2015-09-29T00:00:00.0000000Z,3432044197.371248
